1,3290,7156
1,3283,7094
1,3283,7084
1,3284,7145
1,3292,7193
1,3301,7250
1,3304,7260
1,3295,7252
1,3293,7260
1,3296,7276
1,3304,7270
1,3304,7284
1,3312,7307
1,3309,7306
1,3305,7331
1,3308,7317
1,3304,7307
1,3318,7319
1,3321,7322
1,3345,7386
1,3355,7423
1,3375,7456
1,3413,7489
1,3432,7546
1,3441,7592
1,3429,7614
1,3379,7712
1,3379,7705
1,3412,7670
1,3400,7620
1,3367,7520
1,3336,7501
1,3302,7498
1,3259,7427
1,3180,7364
1,3200,7301
1,3185,7269
1,3174,7247
1,3151,7201
1,3079,7100
1,3081,6966
1,3062,6930
1,3055,6940
1,3020,6910
1,2988,6869
1,2950,6760
1,2944,6756
1,2988,6856
1,2971,6819
1,2950,6794
1,3045,7014
1,3120,7194
1,3176,7288
1,3221,7377
1,3267,7491
1,3309,7557
1,3347,7613
1,3374,7672
1,3400,7691
1,3408,7684
1,3402,7708
1,3407,7727
1,3398,7664
1,3330,7533
1,3250,7442
1,3195,7349
1,3163,7231
1,3121,7123
1,3081,7047
1,3014,6947
1,2917,6766
1,2900,6719
1,2870,6631
1,2856,6592
1,2826,6569
1,2809,6521
1,2776,6470
1,2759,6401
1,2681,6234
1,2671,6201
1,2661,6172
1,2680,6216
1,2861,6604
1,3002,6920
1,3093,7151
1,3169,7329
1,3218,7464
1,3239,7524
1,3294,7585
1,3338,7632
1,3377,7665
1,3395,7677
1,3396,7729
1,3408,7740
1,3412,7714
1,3419,7724
1,3414,7643
1,3354,7589
1,3324,7541
1,3267,7470
1,3237,7405
1,3210,7378
1,3152,7279
1,3078,7130
1,3032,7054
1,3011,6981
1,2962,6824
1,2889,6627
1,2826,6497
1,2814,6464
1,2803,6435
1,2799,6445
1,2805,6433
1,2791,6368
1,2734,6288
1,2702,6214
1,2698,6207
1,2796,6393
1,2924,6724
1,3030,6961
1,3097,7153
1,3158,7299
1,3213,7438
1,3287,7594
1,3336,7670
1,3390,7680
1,3402,7685
1,3400,7709
1,3429,7718
1,3434,7721
1,3413,7755
1,3407,7734
1,3339,7535
1,3278,7456
1,3225,7360
1,3186,7295
1,3182,7231
1,3152,7199
1,3113,7127
1,3073,7034
1,3006,6912
1,2947,6785
1,2876,6564
1,2842,6449
1,2822,6388
1,2803,6329
1,2754,6217
1,2719,6134
1,2687,6071
1,2697,6077
1,2771,6242
1,2978,6782
1,3124,7220
1,3231,7491
1,3298,7656
1,3348,7732
1,3382,7744
1,3393,7788
1,3413,7796
1,3414,7806
1,3426,7789
1,3414,7787
1,3400,7705
1,3288,7491
1,3157,7322
1,3141,7288
1,3113,7242
1,3039,7106
1,3016,7053
1,2996,6982
1,2955,6856
1,2899,6774
1,2880,6709
1,2844,6601
1,2813,6476
1,2807,6428
1,2768,6340
1,2676,6150
1,2669,6101
1,2669,6095
1,2687,6115
1,2731,6173
1,2873,6523
1,3014,6926
1,3089,7138
1,3117,7282
1,3179,7447
1,3266,7606
1,3301,7701
1,3344,7735
1,3364,7769
1,3387,7821
1,3396,7792
1,3402,7793
1,3395,7739
1,3330,7621
1,3279,7484
1,3191,7335
1,3117,7204
10,4638,5364
10,4632,5376
10,4658,5386
10,4744,5409
10,4759,5428
10,4750,5416
10,4758,5435
10,4687,5411
10,4613,5373
10,4494,5324
